# Basic actions
NINDA.DU₃.DU₃	NINDA.DU₃.DU₃ NINDA.DÙ.DÙ	Baker, literally "bread crafter"; in Hittite society, specialized bakers only worked for temples and palaces, where everything had to be carefully controlled for purity and couldn't be entrusted to ordinary people	LOGO
ešḫar	ešḫar ešḫanaš ešḫani ešḫanaz	Blood, guilt; someone who has committed murder has blood "on" them, metaphorically, like in the English expression "blood on their hands".	NOUN ešḫar ešḫanaš ešḫani ešḫar ešḫanaz
MUḪALDIM	MUḪALDIM	Cook (specifically of meat rather than baked goods, but E₂ <sup>LU₂</sup>MUḪALDIM "house of the cook" means "kitchen for all kinds of food preparation", not just meat)	LOGO
išliman	išliman išlimanaš išlimani išlimanaz	Oven	NOUN išliman išlimanaš išlimani išliman išlimanaz
išnura	išnura išnuraš išnuri išnuran išnuraz	Kneading trough (where bread dough was kneaded and then left to rise over the course of the day)	NOUN išnuraš išnuraš išnuri išnuran išnuraz
GA.KIN.AG	GA.KIN.AG	Cheese; for the Hittites, this was a count noun ("two cheeses" rather than "two cup of cheese"), and they were solid enough that they could be used in a popular (dodgeball-like?) sport at festivals. The details of the game are unfortunately unknown, beyond the Hittite phrase "the youths fight with the cheeses".	LOGO
šeša	šeša šešaš šeši šešan šešaz	Fruit; for the Hittites, this primarily meant apples and figs, as well as some other words of unclear meaning (the "foreign apple" or "mountain apple", for example, might mean "apricot" or "pear").	NOUN šešaš šešaš šeši šešan šešaz
arkan	arkan arkanza arkandaš arkandi arkandan arkandaz	Cut/chopped into pieces (adjective)	NOUN arkanza arkandaš arkandi arkandan arkandaz
išna	išna išnaš išni išnan išnaz	Dough (for making bread)	NOUN išnaš išnaš išni išnan išnaz
NINDA	NINDA	Usually translated as "bread", but this word also encompassed cakes, porridges, and any other type of flour-based food	DTM
iyatti	iyatti iyattiš iyattiyaš iyattiya iyattin iyattiyaz	"Iyatti", a special type of bread "studded" with slivers of fruit and cheese	NOUN iyattiš iyattiyaš iyattiya iyattin iyattiyaz
tiyan	tiyan tiyanza tiyantaš tiyanti tiyantan tiyantaz	Studded (with something: ablative); this word is mainly used for jewelry with gems set into it	NOUN tiyanza tiyantaš tiyanti tiyantan tiyantaz
UR.GI₇	UR.GI₇ UR.GI7	Dog; the Hittites believed that dogs carried impurity from one place to another, so they had to be kept away from ritually-significant places like the temple bakeries at all times. If one got too close, everything they touched needed to be cleansed (for metal and stone) or destroyed (for wood and ceramics).	LOGO
GIR₂	GIR₂ GIR2 GÍR	Knife	LOGO
NA₄	NA4	Stone	DTM
ḫararazi	ḫararazi ḫararaziyaš ḫararaziya ḫararaziyaz	Mill, millstone (for grinding grain into flour)	NOUN ḫararazi ḫararaziyaš ḫararaziya ḫararazi ḫararaziyaz
taršuwar	taršuwar taršuwaš	Some sort of operation performed on grain; possibly "drying"? The exact meaning is unknown; it is somehow connected to milling, but not the same as milling itself.	Nom taršuwar Gen taršuwaš
ZID₂.DA	ZID2.DA ZÍD.DA	Flour	LOGO
BAPPIR	BAPPIR	"Bappir", a twice-baked bready substance used as an ingredient in beer-brewing	LOGO
ištarniya	ištarniya ištarniyaš ištarniyan ištarniyaz	Middle, central	NOUN ištarniyaš ištarniyaš ištarniya ištarniyan ištarniyaz
šarāzziya	šarāzziya šarāzziyaš šarāzziyan šarāzziyaz	Upper	NOUN šarāzziyaš šarāzziyaš šarāzziya šarāzziyan šarāzziyaz
kattera	kattera katteraš katteri katteran katteraz	Lower	NOUN katteraš katteraš katteri katteran katteraz
milit	milit militaš	Honey; this word is closely related to Latin <i>melle</i> with the same meaning	Nom milit Gen militaš
PISAN	PISAN	Container	LOGO
nata	nata nataš nati natan nataz	Reed; the form <i>nataš</i> can also mean "of reeds", genitive plural	NOUN nataš nataš nati natan nataz
šākan	šākan šaknaš šakni šaknaz	Oil	NOUN šākan šaknaš šakni šākan šaknaz
šaknuwan	šaknuwan šaknuwanza šaknuwandaš šaknuwandi šaknuwandan šaknuwandaz	Oily	NOUN šaknuwanza šaknuwandaš šaknuwandi šaknuwandan šaknuwandaz
ḫalki	ḫalki ḫalkiyaš	Grain in general, or barley in particular	Nom ḫalki Gen ḫalkiyaš
GIR₄	GIR₄ GIR4	Pottery, fired clay	LOGO
šašanna	šašanna šašannaš šašanni šašannan šašannaz	Lamp (clay vessel to burn oil in)	NOUN šašannaš šašannaš šašanni šašannan šašannaz
dannatta	dannatta dannattaš dannatti dannattan dannattaz	Empty	NOUN dannattaš dannattaš dannatti dannattan dannattaz
wiyanaš	wiyanaš	Wine (closely related to the English word "wine")	Nom wiyanaš Gen wiyanaš
SAR	SAR	Herb, vegetable, leafy plant	LOGO
GUG₂	GUG₂ GUG2 GÚG	Some type of legume	LOGO
warpun	warpun warpta	I washed (something: accusative; with something: ablative)	VERB warpun warpta
arḫa	arḫa	Away (both "from this place" as in "went away", and "completely destroyed" as in "burned away")
warati	warati	It burned up (one of the very few passive verb forms in this game)

# Tablet 3
tunnakkeššar	tunnakkeššar tunnakkešnaš tunnakkešni tunnakkišnaz	Inner chamber; in a house, "bedroom"; in a temple, "inner sanctum" (often abbreviated with the sign for "heart")	NOUN tunnakkeššar tunnakkešnaš tunnakkešni tunnakkeššar tunnakkišnaz
šiuš	šiuš šiunaš šiuni šiun šiunaz	God, deity; many cultures in the Ancient Near East summoned their gods into specially-prepared physical forms (statues, icons, or sacred stones) in order to worship them, and those forms could be stolen in order to "godnap" the deity.	NOUN šiuš šiunaš šiuni šiun šiunaz
DUB.SAR	DUB.SAR	Scribe, or literally "clay tablet writer". Wooden tablets were handled by a different person, the "wood-scribe".	LOGO
akkan	akkan akkanza akkandaš akkandi akkandan akkandaz	Dead	NOUN akkanza akkandaš akkandi akkandan akkandaz
DUB	DUB	Clay tablet	LOGO
<i>UMMA</i>	UMMA	Thus, thus speaks (an Akkadian word used to introduce a quotation or a letter)
f	f MUNUS	Woman; this determiner is usually transcribed "f" for individual women's names and "MUNUS" for categories of women, but it's the same sign either way	DTM
m	m DIŠ	Man (individual man's name)	DTM
ŠU.GI	ŠU.GI	Wise-woman (type of ritual practitioner); the sign literally means "elderly" but in Hittite society this was a job title, not an age description	LOGO
mān	mān	When
=wa(r)	=wa(r) =wa =war	Marks a quotation (attached to the first word of each sentence)	CLIT
<i>INA</i>	INA	On, at (marks the dative case for logograms)
UD	UD UD.20	Day (often attached to a number: UD.1 "the 1st day of the month")	LOGO
KAM	KAM	Number	DTM
Arma	Arma Armaš Armi Arman Armaz	Moon, the moon-god (the two were often used interchangeably)	NOUN Armaš Armaš Armi Arman Armaz
d	d DINGIR	God, deity; this determiner is especially important because gods were mainly referred to by their domains or holy numbers, so this distinguishes "storm" from "the storm-god" or "30" from "the god with the holy number 30"	DTM
aki	aki	He/she/it dies, will die (present tense of <i class="word" data-word="aggaḫḫun">aggaḫḫun</i>); "the moon dies" means "a total eclipse happens"
kupiyatallieš	kupiyatallieš	Conspirators (nominative plural of <i class="word" data-word="kupiyatalli">kupiyatalli</i>)
kupiyatalli	kupiyatalli kupiyatalliš kupiyatalliyaš kupiyatalliya kupiyatallin kupiyatalliyaz	Conspirator	NOUN kupiyatalliš kupiyatalliyaš kupiyatalliya kupiyatallin kupiyatalliyaz
ḫaššu	ḫaššuš ḫaššuwaš ḫaššui ḫaššun ḫaššuwaz ḫaššu	King	NOUN ḫaššuš ḫaššuwaš ḫaššui ḫaššun ḫaššuwaz
kunanzi	kunanzi kuenzi	Slays, will slay (present tense of <i class="word" data-word="kuenun">kuenun</i>)	Singular kuenzi Plural kunanzi
antuḫšuš	antuḫšuš	People (accusative plural of <i class="word" data-word="antuḫša">antuḫša</i>)
kupiyati	kupiyati kupiyatiš kupiyatiyaš kupiyatiya kupiyatin kupiyatiyaz	Conspiracy	NOUN kupiyatiš kupiyatiyaš kupiyatiya kupiyatin kupiyatiyaz
punuššun	punuššun punušta	I questioned, interrogated (someone: accusative; about something: dative)	VERB punuššun punušta
uttar	uttar uddanaš uddani uddanaz	Speech, word, matter, idea, thing	NOUN uttar uddanaš uddani uttar uddanaz
parkui	parkui parkuiš parkuwayaš parkuwai parkuin parkuwayaz	Innocent (person)	NOUN parkuiš parkuwayaš parkuwai parkuin parkuwayaz
šakkuwašar	šakkuwašar šakkuwašaraš šakkuwašari šakkuwašaraz	Truthful, honest	NOUN šakkuwašar šakkuwašaraš šakkuwašari šakkuwašar šakkuwašaraz
ešzi	ešzi	Is, will be (present tense of <i class="word" data-word="ešun">ešun</i>)
